OrgNummer,Navn,Filnavn,EndepunktProduksjon,EndepunktTest
937899785,SPAREBANK 1 SØRE SUNNMØRE,Sparebank1_937899785_Accounts-API.json,https://api.sparebank1.no/dsopaccountcontrolinfo/v2/AccountControlInfoService/v2/937899785,https://api-test.sparebank1.no/dsopaccountcontrolinfo/v2/AccountControlInfoService/v2/937899785
937901003,SPAREBANK 1 SMN,Sparebank1_937901003_Accounts-API.json,https://api.sparebank1.no/dsopaccountcontrolinfo/v2/AccountControlInfoService/v2/937901003,https://api-test.sparebank1.no/dsopaccountcontrolinfo/v2/AccountControlInfoService/v2/937901003
944521836,SPAREBANK 1 BV,Sparebank1_944521836_Accounts-API.json,https://api.sparebank1.no/dsopaccountcontrolinfo/v2/AccountControlInfoService/v2/944521836,https://api-test.sparebank1.no/dsopaccountcontrolinfo/v2/AccountControlInfoService/v2/944521836
952706365,SPAREBANK 1 NORD-NORGE,Sparebank1_952706365_Accounts-API.json,https://api.sparebank1.no/dsopaccountcontrolinfo/v2/AccountControlInfoService/v2/952706365,https://api-test.sparebank1.no/dsopaccountcontrolinfo/v2/AccountControlInfoService/v2/952706365
984851006,DNB,DNB_984851006_Accounts-API.json,https://publicsector.dnb.no/v1,https://test.publicsector.dnb.no/v1
920058817,"Nordea Bank Abp, filial i Norge",Nordea_Bank_Abp_920058817_Accounts-API.json,https://RB-DSOP-ARC642-NO-prod-extranet.nordea.com:9040/v1,https://RB-DSOP-ARC642-NO-test01-extranet.test.nordea.com:9040/v1
998997801,"Komplett Bank AS",Komplett_Bank_998997801_Accounts-API.json,https://eoppslag.online.komplettbank.no/v1,https://eoppslag.onlineservices.komplettbank.no/pp/v1
991455671,"Bank Norwegian AS",Bank_Norwegian_AS_991455671_Accounts-API.json,https://api.banknorwegian.no/dsop/v1,https://api.test.banknorwegian.no/dsop/v1
937905378,"Sparebank 68 grader Nord",Sparebank_68_grader_Nord_937905378_Accounts-API.json,https://api-proxy.sdc.dk/api/dsop-accounts-api/v1/banks/937905378,https://api-proxy.test.sdc.dk/api/dsop-accounts-api/v1/banks/937905378
937894538,"Sparebanken Sør",Sparebanken_Sor_937894538_Accounts-API.json,https://bf-esb-internet.edb.com/secesb/rest/era-dsop/v1/2844,https://esb-internet.preprod.evry.com/secesb/rest/era-dsop/v1/2844
971171324,"Handelsbanken",Handelsbanken_971171324_Accounts-API.json,https://bf-esb-internet.edb.com/secesb/rest/era-dsop/v1/9057,https://esb-internet.preprod.evry.com/secesb/rest/era-dsop/v1/9057
915287700,"Sbanken",Sbanken_915287700_Accounts-API.json,https://api.sbanken.no/exec.dsop/api/v1,https://api-sbx.sbanken.no/exec.dsop/api/v1,
937903502,Aasen Sparebank,Aasen_Sparebank_937903502_Accounts-API.json,https://api-proxy.sdc.dk/api/dsop-accounts-api/v1/banks/937903502,
937890540,Andebu Sparebank,Andebu_Sparebank_937890540_Accounts-API.json,https://api-proxy.sdc.dk/api/dsop-accounts-api/v1/banks/937890540,
937894082,Arendal og Omegns Sparekasse,Arendal_og_Omegns_Sparekasse_937894082_Accounts-API.json,https://api-proxy.sdc.dk/api/dsop-accounts-api/v1/banks/937894082,
937885199,Askim & Spydeberg Sparebank,Askim_og_Spydeberg_Sparebank_937885199_Accounts-API.json,https://api-proxy.sdc.dk/api/dsop-accounts-api/v1/banks/937885199,
937885644,Aurskog Sparebank,Aurskog_Sparebank_937885644_Accounts-API.json,https://api-proxy.sdc.dk/api/dsop-accounts-api/v1/banks/937885644,
988257133,Bank2 ASA,Bank2_ASA_988257133_Accounts-API.json,https://api-proxy.sdc.dk/api/dsop-accounts-api/v1/banks/988257133,
937885288,Berg Sparebank,Berg_Sparebank_937885288_Accounts-API.json,https://api-proxy.sdc.dk/api/dsop-accounts-api/v1/banks/937885288,
991853995,Bien Sparebank ASA,Bien_Sparebank_ASA_991853995_Accounts-API.json,https://api-proxy.sdc.dk/api/dsop-accounts-api/v1/banks/991853995,
937893833,Birkenes Sparebank,Birkenes_Sparebank_937893833_Accounts-API.json,https://api-proxy.sdc.dk/api/dsop-accounts-api/v1/banks/937893833,
937902085,Bjugn Sparebank,Bjugn_Sparebank_937902085_Accounts-API.json,https://api-proxy.sdc.dk/api/dsop-accounts-api/v1/banks/937902085,
837886252,Blaker Sparebank,Blaker_Sparebank_837886252_Accounts-API.json,https://api-proxy.sdc.dk/api/dsop-accounts-api/v1/banks/837886252,
937891601,Drangedal og Tørdal Sparebank,Drangedal_og_Tordal_Sparebank_937891601_Accounts-API.json,https://api-proxy.sdc.dk/api/dsop-accounts-api/v1/banks/937891601,
937884494,Eidsberg Sparebank,Eidsberg_Sparebank_937884494_Accounts-API.json,https://api-proxy.sdc.dk/api/dsop-accounts-api/v1/banks/937884494,
937888570,Etnedal Sparebank,Etnedal_Sparebank_937888570_Accounts-API.json,https://api-proxy.sdc.dk/api/dsop-accounts-api/v1/banks/937888570,
